aawdt,count_location,input_study_id,objectid,segkey,stname,year
11900,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",315130,69,14407,EAST MARGINAL WAY S,2014
13100,"35TH AVE NE, S/O NE 75TH ST",315075,70,5362,35TH AVE NE,2014
21000,"W EMERSON PL, SE/O 21ST AVE W",316417,71,23271,W EMERSON PL,2014
20400,"BOREN AVE, SE/O PIKE ST",315938,72,9318,BOREN AVE,2014
7500,"SWIFT AVE S, NW/O S ALBRO PL",316278,73,13038,SWIFT AVE S,2014
17900,"1ST AVE S, S/O S SPOKANE SR ST",316233,74,1214,1ST AVE S,2014
13700,"1ST AVE, NW/O LENORA ST",315065,75,1013,1ST AVE,2014
4900,"8TH AVE, SE/O PIKE ST",315095,76,8279,8TH AVE,2014
17000,"AIRPORT WAY S, NW/O S LUCILE ST",315870,77,8689,AIRPORT WAY S,2014
16600,"NE 125TH ST, W/O 27TH AVE NE",315203,78,16496,NE 125TH ST,2014
22700,"RAINIER AVE S, S/O S OTHELLO ST",315816,79,12409,RAINIER AVE S,2014
10900,"S MYRTLE ST, W/O BEACON WR AVE S",316574,80,20911,S MYRTLE ST,2014
23000,"DENNY WAY, E/O STEWART ST",315119,81,10023,DENNY WAY,2014
11500,"FAUNTLEROY WAY SW, N/O SW BARTON ST",316000,82,10420,FAUNTLEROY WAY SW,2014
12500,"GREENWOOD AVE N, S/O HOLMAN RD N",316446,83,10764,GREENWOOD AVE N,2014
4000,"BEACH DR SW, SE/O 61ST AVE SW",316262,84,9093,BEACH DR SW,2014
20600,"4TH AVE, SE/O PIKE ST",314045,85,6130,4TH AVE,2014
0,0,,298,0,ALAKSAN WAY VI NB ON RP,0
11200,"6TH AVE, NW/O LENORA ST",316686,86,7890,6TH AVE,2014
41500,"LAKE CITY WAY NE, SW/O NE 115TH ST",315962,87,11166,LAKE CITY WAY NE,2014
19100,"RAINIER AVE S, E/O 75TH AVE S",315920,88,12439,RAINIER AVE S,2014
16300,"N 145TH ST, W/O LINDEN AVE N",315186,89,15264,N 145TH ST,2014
19500,"5TH AVE NE, S/O NE NORTHGATE WAY",315089,90,7255,5TH AVE NE,2014
24500,"N 85TH ST, W/O ASHWORTH AVE N",315199,91,15962,N 85TH ST,2014
10300,"NE 80TH ST, E/O 5TH AVE NE",316402,92,17610,NE 80TH ST,2014
11500,"15TH AVE NE, S/O NE 65TH ST",316237,93,2047,15TH AVE NE,2014
38000,"NE 45TH ST, W/O NE 45TH PL",316400,94,288753,NE 45TH ST,2014
11300,"S GENESEE ST, E/O 38TH AVE S",314412,95,20097,S GENESEE ST,2014
10200,"ROOSEVELT WAY NE, N/O NE 50TH ST",314524,96,12601,ROOSEVELT WAY NE,2014
10500,"N 40TH ST, E/O STONE WAY N",316589,97,15416,N 40TH ST,2014
34900,"4TH AVE S, S/O SEATTLE BLVD S",315085,98,6232,4TH AVE S,2014
25000,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",315316,99,21691,SW ADMIRAL WAY,2014
11200,"S LUCILE ST, E/O 4TH AVE S",314181,100,20693,S LUCILE ST,2014
19200,"DELRIDGE WAY SW, S/O SW ANDOVER ST",315108,101,9960,DELRIDGE WAY SW,2014
12200,"GREENWOOD AVE N, S/O N 80TH ST",315174,102,10746,GREENWOOD AVE N,2014
13200,"5TH AVE NE, N/O NE NORTHGATE WAY",315960,103,7256,5TH AVE NE,2014
6600,"20TH AVE W, S/O W DRAVUS ST",315978,104,3090,20TH AVE W,2014
13300,"10TH AVE E, S/O E BOSTON ST",315930,105,1298,10TH AVE E,2014
10800,"14TH AVE S, N/O S DIRECTOR ST",315059,106,1960,14TH AVE S,2014
23500,"N 130TH ST, W/O LINDEN AVE N",315184,107,15160,N 130TH ST,2014
25300,"N 85TH ST, W/O LINDEN AVE N",315201,108,15954,N 85TH ST,2014
11200,"N 50TH ST, W/O FREMONT AVE N",316398,109,15641,N 50TH ST,2014
13500,"S LANDER ST, W/O 6TH AVE S",315779,110,20628,S LANDER ST,2014
7700,"7TH AVE, SE/O PIKE ST",316692,111,8157,7TH AVE,2014
16600,"DELRIDGE WAY SW, N/O SW MYRTLE ST",315104,112,9976,DELRIDGE WAY SW,2014
28500,"UNIVERSITY BR, SW/O POINT A",316280,113,13189,UNIVERSITY BR,2014
15100,"NE 65TH ST, E/O 25TH AVE NE",315970,114,17278,NE 65TH ST,2014
17800,"12TH AVE S, S/O S WELLER ST",316852,115,1656,12TH AVE S,2014
9700,"FREMONT AVE N, S/O N 46TH ST",316442,116,10498,FREMONT AVE N,2014
13700,"E MADISON ST, SW/O 38TH AVE E",315952,117,14372,E MADISON ST,2014
11100,"24TH AVE NW, S/O NW 80TH ST",316247,118,3605,24TH AVE NW,2014
32500,"RAINIER AVE S, SE/O M L KING JR WAY S",315286,119,12368,RAINIER AVE S,2014
9800,"S LUCILE ST, W/O 12TH AVE S",316409,120,20699,S LUCILE ST,2014
2000,"8TH AVE S, S/O S DIRECTOR ST",313892,121,8469,8TH AVE S,2014
3800,"MERIDIAN AVE N, S/O N 145TH ST",316579,122,11752,MERIDIAN AVE N,2014
16600,"NE 75TH ST, W/O 30TH AVE NE",315214,123,17527,NE 75TH ST,2014
34100,"DENNY WAY, W/O 2ND AVE",315553,124,10000,DENNY WAY,2014
22000,"NE 75TH ST, E/O 12TH AVE NE",315212,125,17510,NE 75TH ST,2014
8300,"ELLIS AVE S, S/O S WARSAW ST",316491,126,10230,ELLIS AVE S,2014
23500,"E MADISON ST, SW/O 17TH AVE",315581,127,14348,E MADISON ST,2014
8200,"12TH AVE NE, S/O NE 75TH ST",316468,128,1589,12TH AVE NE,2014
28600,"LEARY WAY NW, NW/O 3RD AVE NW",315176,129,11336,LEARY WAY NW,2014
17400,"NE NORTHGATE WAY, W/O 15TH AVE NE",315247,130,18018,NE NORTHGATE WAY,2014
7400,"S HOLGATE BR, E/O S HOLGATE ST",313763,131,20314,S HOLGATE BR,2014
20900,"W DRAVUS ST, E/O 20TH AVE W",316478,132,23222,W DRAVUS ST,2014
13900,"EASTLAKE AVE E, SW/O HARVARD AVE E",315890,133,10183,EASTLAKE AVE E,2014
27300,"RAINIER AVE S, N/O S ALASKA ST",315992,134,12383,RAINIER AVE S,2014
12300,"SW BARTON ST, W/O 30TH AVE SW",314745,135,21848,SW BARTON ST,2014
21500,"24TH AVE E, N/O E PROSPECT ST",316564,136,3543,24TH AVE E,2014
4800,"31ST AVE S, S/O S JACKSON ST",313855,137,4828,31ST AVE S,2014
12000,"1ST AVE S, N/O S KING ST",316228,138,1188,1ST AVE S,2014
8100,"NW 80TH ST, W/O 15TH AVE NW",314099,139,18898,NW 80TH ST,2014
23400,"N 46TH ST, W/O PHINNEY AVE N",315193,140,15557,N 46TH ST,2014
14300,"N 80TH ST, W/O LINDEN AVE N",316723,141,15893,N 80TH ST,2014
15400,"N 105TH ST, W/O EVANSTON W AVE N",316471,142,15012,N 105TH ST,2014
15100,"15TH AVE NE, S/O NE 45TH ST",315063,143,2034,15TH AVE NE,2014
13500,"14TH AVE, N/O E YESLER WAY",315934,144,1840,14TH AVE,2014
15600,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",315940,145,11209,LAKE WASHINGTON BLVD E,2014
21800,"4TH AVE S, N/O S DAWSON ST",316682,146,6252,4TH AVE S,2014
25700,"N 50TH ST, W/O 1ST AVE NE",315197,147,15656,NE 50TH ST,2014
0,0,,148,0,MERCER ST,0
0,0,,149,0,ALASKAN WY VI ACUCT,0
67000,WSDOT data,0,150,8900,AURORA AVE N,0
107300,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",316321,151,13330,WEST SEATTLE BR EB & WB,2014
8100,"BROAD ST, NE/O DENNY WAY",315879,152,9416,BROAD ST,2014
9700,"STEWART ST, NE/O 4TH AVE",314482,153,12900,STEWART ST,2014
6000,"WESTLAKE AVE, S/O DENNY WAY",315928,154,13531,WESTLAKE AVE,2014
16000,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",315950,155,14364,E MADISON ST,2014
16300,"35TH AVE SW, N/O SW ROXBURY ST",315077,156,5484,35TH AVE SW,2014
22700,"DENNY WAY, E/O MINOR AVE",316701,157,158085,DENNY WAY,2014
48400,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",315964,158,11911,MONTLAKE BLVD NE,2014
29400,"DENNY WAY, W/O 6TH AVE",315126,159,10007,DENNY WAY,2014
24900,"NE 45TH ST, E/O 16TH AVE NE",315914,160,16854,NE 45TH ST,2014
51700,"MERCER ST, W/O FAIRVIEW AVE N",316703,161,11775,MERCER ST,2014
33300,"NE 45TH ST, W/O ROOSEVELT WAY NE",315205,162,16847,NE 45TH ST,2014
14200,"6TH AVE S, S/O S FOREST ST",315093,163,7997,6TH AVE S,2014
57400,"MONTLAKE BR, S/O POINT A",316704,164,11902,MONTLAKE BR,2014
18600,"STEWART ST (OFF&REV) RP, N/O STEWART ST",316559,165,489775,STEWART ST RAMP,2014
19700,"NICKERSON ST, NW/O FLORENTIA ST",316454,166,11970,NICKERSON ST,2014
12500,"GILMAN AVE W, NW/O W EMERSON PL",315980,167,10638,GILMAN AVE W,2014
15400,"2ND AVE, SE/O PIKE ST",314752,168,2757,2ND AVE,2014
36600,"RAINIER AVE S, NW/O S MCCLELLAN ST",315990,169,12364,RAINIER AVE S,2014
20400,"BOREN AVE, SE/O PIKE ST",315938,170,9318,BOREN AVE,2014
11300,"S JACKSON ST, W/O 23RD AVE S",316505,171,20501,S JACKSON ST,2014
19300,"N NORTHGATE WAY, W/O ASHWORTH AVE N",316590,172,16114,N NORTHGATE WAY,2014
14500,"NE PACIFIC ST, NE/O 2ND AVE NE",315274,173,18039,NE PACIFIC ST,2014
3200,"SEAVIEW AVE NW, N/O NW 67TH ST",316276,174,12762,SEAVIEW AVE NW,2014
15900,"NE 65TH ST, W/O 25TH AVE NE",315968,175,17277,NE 65TH ST,2014
52700,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",315858,176,13333,WEST SEATTLE BR EB & WB,2014
6600,"BROAD ST, SW/O 3RD AVE",315877,177,9414,BROAD ST,2014
21100,"N 145TH ST, W/O MERIDIAN AVE N",316586,178,15279,N 145TH ST,2014
9300,"SW 106TH ST, W/O SEOLA BEACH DR SW",316411,179,21625,SW 106TH ST,2014
39500,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",315292,180,19710,S COLUMBIAN WAY,2014
23400,"DENNY WAY, E/O WESTLAKE AVE",316700,181,10015,DENNY WAY,2014
12100,"QUEEN ANNE AVE N, S/O CROCKETT ST",315599,182,12312,QUEEN ANNE AVE N,2014
8700,"12TH AVE E, N/O E JOHN ST",315932,183,1551,12TH AVE E,2014
9900,"M L KING JR WAY E, S/O E JOHN ST",315944,184,11495,M L KING JR WAY E,2014
34600,"S MICHIGAN ST, E/O 6TH AVE S",315300,185,20848,S MICHIGAN ST,2014
7500,"E YESLER WAY, W/O 23RD AVE",315956,186,14946,E YESLER WAY,2014
7800,"S OTHELLO ST, E/O 43RD AVE S",314416,187,21055,S OTHELLO ST,2014
17100,"11TH AVE NE, S/O NE 45TH ST",314684,188,1408,11TH AVE NE,2014
11700,"ROOSEVELT WAY NE, N/O NE 73RD ST",316484,189,12623,ROOSEVELT WAY NE,2014
14000,"8TH AVE NW, S/O NW 80TH ST",316258,190,8406,8TH AVE NW,2014
5100,"1ST AVE NE, S/O NE 145TH ST",313833,191,1113,1ST AVE NE,2014
5200,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",316415,192,21861,FAUNTLEROY FERRY DOCK,2014
21700,"S DEARBORN ST, W/O 13TH AVE S",315296,193,19832,S DEARBORN ST,2014
12700,"5TH AVE, SE/O PIKE ST",315091,194,7235,5TH AVE,2014
31700,"RAINIER AVE S, SE/O BOREN AVE S",316489,195,12340,RAINIER AVE S,2014
27000,"NW MARKET ST, W/O 8TH AVE NW",315278,196,19223,NW MARKET ST,2014
11000,"WEST MARGINAL WAY SW, NW/O 2ND AVE SW",315926,197,23541,WEST MARGINAL WAY SW,2014
22200,"N 45TH ST, W/O EASTERN AVE N",315974,198,15553,N 45TH ST,2014
26700,"NE PACIFIC ST, NW/O NE PACIFIC PL",316475,199,18047,NE PACIFIC ST,2014
9500,"PINE ST, NE/O 5TH AVE",314737,200,12218,PINE ST,2014
20700,"MAGNOLIA BR, E/O W GARFIELD ST OFF RP",315180,201,11604,MAGNOLIA BR,2014
31900,"WESTLAKE AVE N, S/O HIGHLAND DR",315330,202,13540,WESTLAKE AVE N,2014
6800,"SW HOLDEN ST, W/O DELRIDGE WAY SW",314743,203,22372,SW HOLDEN ST,2014
9300,"HOWELL ST, NE/O 9TH AVE",313306,204,10961,HOWELL ST,2014
15100,"16TH AVE S, N/O 16TH AVE S BR",316245,205,2315,16TH AVE S,2014
13000,"BEACON AVE S, S/O S SPOKANE ST",316699,206,573395,BEACON AVE S,2014
6700,"PINE ST, NE/O 9TH AVE",315284,207,12222,PINE ST,2014
10100,"OLIVE WAY, NE/O 9TH AVE",313799,208,12047,OLIVE WAY,2014
18700,"AIRPORT WAY S, S/O S STACY ST",315872,209,8666,ARIPORT WAY S,2014
10600,"PIKE ST, SW/O TERRY AVE",315282,210,12205,PIKE ST,2014
1100,"COLUMBIA ST EXPRESS RP, E/O COLUMBIA ST",316650,211,490100,COLUMBIA ST RAMP,2014
6200,"OLIVE WAY, SW/O 5TH AVE",314738,212,12042,OLIVE WAY,2014
29900,"SR522, SW/O 12TH AVE NE",315302,213,10993,SR 522,2014
3700,"28TH AVE W, S/O W DRAVUS ST",314214,214,4248,28TH AVE W,2014
17100,"NE 65TH ST, W/O 15TH AVE NE",316427,215,17265,NE 65TH ST,2014
6300,"51ST AVE S, S/O S BANGOR ST",316256,216,7537,51ST AVE S,2014
16800,"NE 65TH ST, W/O ROOSEVELT WAY NE",315209,217,17261,NE 65TH ST,2014
21500,"NE PACIFIC ST, NW/O MONTLAKE BLVD NE",315276,218,18049,NE PACIFIC ST,2014
94800,WEST SEATTLE BR (EB&WB) E/O 1ST AV S OFF RP,316718,219,531032,WEST SEATTLE BR EB & WB,2014
7500,"UNIVERSITY ST, SW/O 4TH AVE",315390,220,13202,UNIVERSITY ST,2014
29600,"NE NORTHGATE WAY, E/O 5TH AVE NE",315218,221,18013,NE NORTHGATE WAY,2014
16300,"EAST GREEN LAKE WAY N, NE/O N 57TH ST",315639,222,14073,EAST GREEN LAKE WAY N,2014
27700,"HOLMAN RD NW, NE/O 13TH E AVE NW",316591,223,10940,HOLMAN RD NW,2014
28800,"MADISON ST, NE/O BOREN AVE",316568,224,11592,MADISON ST,2014
17000,"23RD AVE S, S/O S JACKSON ST",315067,225,3444,23RD AVE S,2014
9500,"E UNION ST, W/O 26TH AVE",315954,226,14903,E UNION ST,2014
11300,"BEACON AVE S, N/O S SPOKANE ST",315988,227,9125,BEACON AVE S,2014
7800,"ALASKAN WAY S, N/O S KING ST",315883,228,8738,ALASKAN WAY S,2014
21200,"1ST AVE, SE/O PIKE ST",315057,229,1008,1ST AVE,2014
6600,"WESTERN AVE, NW/O UNION ST",316282,230,13503,WESTERN AVE,2014
19400,"BOREN AVE, NW/O E YESLER WAY",315099,231,9303,BOREN AVE,2014
10600,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",316423,232,12652,ROOSEVELT WAY NE,2014
33900,"FREMONT BR, N/O POINT A",315166,233,10563,FREMONT BR,2014
93900,"1ST AV S BR NB & SB, S/O POINT A",316678,234,1270,1ST AV S BR NB,2014
16300,"NE 50TH ST, W/O ROOSEVELT WAY NE",316575,235,16929,NE 50TH ST,2014
19900,"4TH AVE S, N/O S MICHIGAN ST",315081,236,6261,4TH AVE S,2014
61100,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",316705,237,12881,SR509 NB,2014
13300,"S HENDERSON ST, E/O RENTON AVE S",315298,238,20241,S HENDERSON ST,2014
16600,"EAST MARGINAL WAY S, SE/O 4TH AVE S",315135,239,14409,EAST MARGINAL WAY S,2014
25500,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",316495,240,486569,M L KING JR WAY S NB & SB,2014
18600,"EAST MARGINAL WAY S, SE/O BOEING DR",315137,241,14420,EAST MARGINAL WAY S,2014
10600,"ALASKAN WAY, SE/O PIKE ST",316260,242,269161,ALASKAN WAY,2014
10200,"S GRAHAM ST, E/O SWIFT AVE S",316404,243,20110,S GRAHAM ST,2014
26800,"AURORA AVE N, S/O N 80TH ST",316694,244,8957,AURORA AVE N,2014
33500,"AURORA AVE N, S/O N 112TH ST",316436,245,8988,AURORA AVE N,2014
13100,"CALIFORNIA AVE SW, S/O ERSKINE WAY SW",315998,246,9555,CALIFORNIA AVE SW,2014
19500,"M L KING JR ER & WR WAY S, N/O S ANDOVER ST",315798,247,352636,ML KING JR BLVD S NB & SB,2014
27000,"4TH AVE S, S/O 2ND AV ET S",315083,248,6230,4TH AVE S,2014
16300,"SAND POINT WAY NE, S/O NE 74TH ST",316482,249,12724,SAND POINT WAY NE,2014
13300,"EAST GREEN LAKE DR N, NW/O LATONA AVE NE",316577,250,14060,EAST GREEN LAKE DR N,2014
16600,"SAND POINT WAY NE, SW/O NE 65TH ST",315966,251,12722,SAND POINT WAY NE,2014
31700,"M L KING JR ER & WR WAY S, S/O S NORFOLK ST",315908,252,489661,M L KING JR WAY S,2014
8000,"N 125TH ST, W/O AURORA AVE N",316721,253,519931,N 125TH ST,2014
21900,"M L KING JR ER & WR WAY S, NW/O S EDMUNDS ST",315906,254,484993,M L KING JR WAY S,2014
16400,"WESTERN AV OFF RP, NW/O ALASKAN WY VI NB",316720,255,13524,WESTERN AV OFF RP,2014
41600,"WEST MARGINAL NB & SB WAY S, SE/O CLOVERDALE ST ON RP",316674,256,490543,SR99 FY,2014
10700,"COLUMBIA ST ON RP, NE/O ALASKAN WY VI SB",313368,257,9738,COLUMBIA ST ON RP,2014
27000,"4TH AVE S, S/O 2ND AV ET S",315083,258,6230,4TH AVE S,2014
48900,"ELLIOTT AVE W, SE/O W MERCER PL",315142,259,10218,ELLIOTT AVE W,2014
10000,"ALASKAN WAY, SE/O BLANCHARD ST",315539,260,8728,ALASKAN WAY,2014
10300,"SW SPOKANE BR, W/O SW SPOKANE E ST",315320,261,22804,SW SPOKANE BR,2014
23600,"35TH AVE SW, S/O SW ALASKA ST",315079,262,5452,35TH AVE SW,2014
9100,"UNION ST OFF RP, NE/O UNION ST",313307,263,489864,UNION ST OFF RAMP,2014
19200,"OLIVE WY OFF RP, S/O OLIVE WAY",314197,264,489829,OLIVE WAY OFF RAMP,2014
17400,"I5 NB SENECA ST OFF RP, SE/O SENECA ST",313801,265,490079,SENECA ST OFF RAMP,2014
15900,"S COLUMBIAN WAY, NW/O BEACON WR AVE S",315294,266,19699,S COLUMBIAN WAY,2014
19000,"HOWELL ST ON RP, N/O I5 SB",314145,267,489781,YALE ST ON RAMP,2014
13600,"ELLIOTT AV ON RP, NW/O ALASKAN WY VI SB",316702,268,10224,ELLIOTT AV ON RP,2014
13900,"CHERRY ST ON RP, NW/O CHERRY ST",314739,269,490102,CHERRY ST ON RAMP NB,2014
9900,"OLIVE WY ON RP, N/O MELROSE AV ON RP",314198,270,489779,MELROSE AVE ON RAMP,2014
10300,"ALKI AVE SW, W/O HARBOR AVE SW",315739,271,8782,ALKI AVE SW,2014
30100,"6TH AV ON RP, SE/O 6TH AVE",313312,272,490110,JAMES ST ON RAMP SB,2014
3000,"CHERRY ST EXPRESS RP, NE/O CHERRY ST",310517,273,490099,CHERRY ST REV RAMP,2014
14900,"JAMES ST OFF RP, NW/O COLUMBIA ST",316649,274,490084,COLUMBIA ST OFF RAMP,2014
8000,"I5 EXPR PIKE AND 9TH RP, N/O 9TH AV I5 EXPRESS ON RP",313291,275,489839,PIKE RAMP,2014
16700,"SPRING ST ON RP, SE/O SPRING ST",313310,276,490080,SPRING ST ON RAMP,2014
12300,"STEWART ST, NE/O 9TH AVE",315314,277,12906,STEWART ST,2014
14600,"MADISON ST OFF RP, SE/O 7TH AVE",314121,278,490101,MADISON ST OFF RAMP,2014
12400,"JAMES ST OFF RP, S/O JAMES ST",314196,279,490103,JAMES ST OFF RAMP,2014
9400,"UNIVERSITY ST ON RP, N/O I5 NB",313800,280,489863,UNIVERSITY ST ON RAMP,2014
41300,"LAKE CITY WAY NE, NE/O NE 95TH ST",315671,281,11159,LAKE CITY WAY NE,2014
9500,"S SPOKANE (NR&SR) ST, W/O 4TH AVE S",316594,282,21329,S SPOKANE ST,2014
4000,"9TH AVE, NW/O LENORA ST",313297,283,8526,9TH AVE,2014
7700,"9TH AVE NE, S/O NE 75TH ST",314641,284,8554,9TH AVE NE ON RAMP,2014
8000,"LAKESIDE AVE S, S/O S DEARBORN ST",313857,285,11264,LAKESIDE AVE S,2014
23800,"1ST AVE S, S/O S HORTON ST",315984,286,1211,1ST AVE S,2014
2013,0,,287,54500,BALLARD BR,9047
2013,0,,288,31900,VALLEY ST,13267
0,0,,289,0,CHERRY ST,0
0,0,,290,0,NE PACIFIC PL,0
0,0,,291,0,JAMES ST,0
0,0,,292,0,MADISON ST,0
11000,WSDOT data,0,293,534681,COLMAN DOCK,0
47000,WSDOT data,0,294,8766,ALASKAN WY VI NB & SB,2014
0,0,,295,0,ALASKAN WAY S,0
43000,WSDOT data,0,296,9080,BATTERY ST TUNNEL NB & SB,2014
